cod.	documento	qtd.	ug	data	doc. p/ serv.		
NS		1	158392	25/09/2023			
DF		1	158392	26/09/2023			
NS		1	158392	26/09/2023			
OB		4	158392	27/09/2023			
NS		9	158392	27/09/2023			
OB		4	158392	28/09/2023			
DF		1	158392	28/09/2023			
NS		3	158392	28/09/2023			
ND		1	158392	06/09/2023			
RO		1	158392	06/09/2023			
NS		1	152420	02/08/2023			
NS		2	152420	03/08/2023			
OB		1	152420	04/08/2023			
NS		1	152420	04/08/2023			
OB		2	152420	07/08/2023			
NS		2	152420	07/08/2023			
NS		3	152420	08/08/2023			
OB		1	152420	09/08/2023			
OB		3	152420	10/08/2023			
PF		1	152420	10/08/2023			
DF		1	152420	10/08/2023			
NS		14	152420	10/08/2023			
OB		3	152420	11/08/2023			
NS		10	152420	11/08/2023			
NS		3	152420	14/08/2023			
DF		4	152420	15/08/2023			
NS		6	152420	15/08/2023			
OB		3	152420	16/08/2023			
NS		1	152420	16/08/2023			
OB		2	152420	17/08/2023			
PF		1	152420	17/08/2023			
DF		2	152420	17/08/2023			
NS		3	152420	17/08/2023			
OB		2	152420	18/08/2023			
DF		2	152420	18/08/2023			
NS		4	152420	18/08/2023			
OB		2	152420	21/08/2023			
NS		5	152420	21/08/2023			
OB		1	152420	22/08/2023			
DF		1	152420	22/08/2023			
NS		2	152420	22/08/2023			
OB		3	152420	24/08/2023			
DF		1	152420	24/08/2023			
NS		6	152420	24/08/2023			
NS		5	152420	25/08/2023			
NS		4	152420	28/08/2023			
OB		3	152420	29/08/2023			
PF		1	152420	29/08/2023			
DF		1	152420	29/08/2023			
NS		4	152420	29/08/2023			
OB		1	152420	30/08/2023			
NS		14	152420	30/08/2023			
OB		11	152420	31/08/2023			
DF		2	152420	31/08/2023			
NS		7	152420	31/08/2023			
PF		1	152420	01/09/2023			
DF		1	152420	01/09/2023			
NS		4	152420	01/09/2023			
OB		1	152420	04/09/2023			
NS		4	152420	04/09/2023			
OB		3	152420	05/09/2023			
NS		4	152420	05/09/2023			
NS		1	152420	06/09/2023			
DF		1	152420	11/09/2023			
NS		5	152420	11/09/2023			
OB		2	152420	12/09/2023			
DF		3	152420	12/09/2023			
NS		1	152420	12/09/2023			
NS		1	152420	13/09/2023			
OB		1	152420	14/09/2023			
NS		4	152420	14/09/2023			
NS		2	152420	15/09/2023			
NS		5	152420	18/09/2023			
OB		4	152420	19/09/2023			
NS		1	152420	19/09/2023			
DF		3	152420	20/09/2023			
NS		3	152420	20/09/2023			
NS		1	152420	21/09/2023			
OB		3	152420	22/09/2023			
NS		1	152420	22/09/2023			
NS		2	152420	25/09/2023			
NS		4	152420	26/09/2023			
NS		2	152420	27/09/2023			
DF		2	152420	27/09/2023			
NS		3	152420	27/09/2023			
OB		2	152420	28/09/2023			
NS		2	152420	28/09/2023			
OB		2	152420	29/09/2023			
NS		3	152420	29/09/2023			
ND		9	158134	19/10/2023			
NC		1	158134	19/10/2023			
RO		6	158134	19/10/2023			
OB		70	158134	19/10/2023			
PF		3	158134	19/10/2023			
DF		8	158134	19/10/2023			
NS		140	158134	19/10/2023			
ND		12	158134	20/10/2023			
RO		7	158134	20/10/2023			
OB		169	158134	20/10/2023			
DF		60	158134	20/10/2023			
PF		2	158134	20/10/2023			
NS		277	158134	20/10/2023			
PF		1	152430	01/08/2023			
NS		1	152430	01/08/2023			
NS		2	152430	02/08/2023			
OB		3	152430	03/08/2023			
DF		1	152430	03/08/2023			
NS		8	152430	03/08/2023			
OB		2	152430	04/08/2023			
NS		2	152430	04/08/2023			
OB		5	152430	07/08/2023			
DF		4	152430	07/08/2023			
NS		7	152430	07/08/2023			
OB		2	152430	08/08/2023			
NS		4	152430	08/08/2023			
OB		1	152430	09/08/2023			
DF		3	152430	09/08/2023			
NS		2	152430	09/08/2023			
NS		1	152430	10/08/2023			
ND		1	152430	11/08/2023			
OB		1	152430	11/08/2023			
NS		4	152430	11/08/2023			
ND		2	152430	14/08/2023			
